session_id,user_id,trip_id,session_start,session_end,page_clicks,flight_discount,flight_discount_amount,hotel_discount,hotel_discount_amount,flight_booked,hotel_booked,cancellation,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,origin_airport,destination,destination_airport,seats,return_flight_booked,departure_time,return_time,checked_bags,trip_airline,destination_airport_lat,destination_airport_lon,base_fare_usd,hotel_name,nights,rooms,check_in_time,check_out_time,hotel_price_per_room_night_usd
534971-8498bdf5926c418289c22d174172149d,534971,534971-94302573cb314941ac4e9e501347ce2b,2023-04-26T20:05:00.000Z,2023-04-26T20:10:39.000Z,45,false,null,true,0.05,true,true,false,1990-09-25T00:00:00.000Z,F,false,false,canada,toronto,YTZ,43.627,-79.396,2023-01-16T00:00:00.000Z,YTZ,philadelphia,PNE,1.0,true,2023-05-03T11:00:00.000Z,2023-05-05T11:00:00.000Z,1.0,American Airlines,39.872,-75.241,93.75,Aman Resorts - philadelphia,1.0,1.0,2023-05-03T13:40:35.760Z,2023-05-05T11:00:00.000Z,49.0
529436-d8fb093995984dc496df456c2e5e1b75,529436,529436-8275de22ea9b4a419016ea39eee7962e,2023-05-13T12:51:00.000Z,2023-05-13T12:52:28.000Z,12,false,null,false,null,false,true,false,1977-05-10T00:00:00.000Z,F,false,false,usa,new york,LGA,40.777,-73.872,2023-01-14T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Banyan Tree  - las vegas,3.0,1.0,2023-05-17T11:00:00.000Z,2023-05-20T11:00:00.000Z,203.0
593494-4d992fe2600d4517867a23b377029f70,593494,593494-1fb3c96f84c341049bd369db1b113759,2023-05-15T20:37:00.000Z,2023-05-15T20:39:01.000Z,16,false,null,false,null,true,true,false,1967-08-18T00:00:00.000Z,F,true,false,usa,new york,LGA,40.777,-73.872,2023-02-14T00:00:00.000Z,LGA,austin,AUS,1.0,true,2023-05-26T07:00:00.000Z,2023-05-30T07:00:00.000Z,0.0,KLM Royal Dutch Airlines,30.194,-97.67,417.22,Best Western - austin,3.0,1.0,2023-05-26T12:03:16.425Z,2023-05-30T11:00:00.000Z,74.0
601673-c7918fc9a4e84f918ff736da2baa0673,601673,601673-4251158529bf40a08caee1bd2c371d48,2023-05-22T15:00:00.000Z,2023-05-22T15:03:01.000Z,24,false,null,false,null,true,true,false,1984-05-28T00:00:00.000Z,F,true,true,canada,toronto,YYZ,43.677,-79.631,2023-02-18T00:00:00.000Z,YYZ,calgary,YYC,1.0,true,2023-05-30T16:00:00.000Z,2023-06-03T16:00:00.000Z,0.0,Air Canada,51.114,-114.02,477.97,Crowne Plaza - calgary,2.0,1.0,2023-05-30T21:21:41.265Z,2023-06-02T11:00:00.000Z,152.0
517596-9efe33810ebe45d090e4b0d4401cbb81,517596,517596-9c9aee64b2c54c4c9a2d0deed732c7b6,2023-06-08T11:51:00.000Z,2023-06-08T11:53:17.000Z,18,false,null,false,null,true,true,false,1969-11-08T00:00:00.000Z,F,true,true,usa,kansas city,MCI,39.297,-94.714,2023-01-08T00:00:00.000Z,MCI,new york,LGA,1.0,true,2023-06-14T14:00:00.000Z,2023-06-24T14:00:00.000Z,1.0,JetBlue Airways,40.64,-73.779,310.69,Conrad  - new york,8.0,1.0,2023-06-14T18:13:57.315Z,2023-06-23T11:00:00.000Z,113.0
635300-ae2754b889da4556abf27dbd2bb27a2f,635300,635300-4e0f8aff5baf4fd1a3e86a434e4379e2,2023-05-08T21:10:00.000Z,2023-05-08T21:15:08.000Z,42,false,null,false,null,true,true,false,1978-11-09T00:00:00.000Z,F,true,false,usa,chicago,ORD,41.979,-87.904,2023-03-04T00:00:00.000Z,ORD,indianapolis,IND,1.0,true,2023-05-14T07:00:00.000Z,2023-05-16T07:00:00.000Z,1.0,AirTran Airways,39.717,-86.294,54.67,Choice Hotels - indianapolis,1.0,1.0,2023-05-14T09:21:25.425Z,2023-05-15T11:00:00.000Z,110.0
590922-a7dd4b2d981b46e79eda559e7c347165,590922,590922-6813882c9f9543308230c1306c2d5ed1,2023-05-17T02:33:00.000Z,2023-05-17T02:36:10.000Z,26,false,null,false,null,true,true,false,1958-08-19T00:00:00.000Z,F,false,false,canada,montreal,YUL,45.468,-73.741,2023-02-13T00:00:00.000Z,YUL,oklahoma city,OKC,1.0,true,2023-05-23T07:00:00.000Z,2023-06-01T07:00:00.000Z,0.0,American Airlines,35.393,-97.601,360.61,Rosewood - oklahoma city,8.0,1.0,2023-05-23T11:52:15.420Z,2023-05-31T11:00:00.000Z,177.0
517370-3ec529ddddd040ce91516423637ceb90,517370,517370-dd3549b50ed24e15b63f334a9eed9d5a,2023-05-30T15:30:00.000Z,2023-05-30T15:32:23.000Z,19,false,null,false,null,true,true,false,1983-02-15T00:00:00.000Z,F,true,false,usa,new york,LGA,40.777,-73.872,2023-01-08T00:00:00.000Z,LGA,vancouver,YVR,1.0,true,2023-06-08T11:00:00.000Z,2023-06-11T11:00:00.000Z,1.0,Air Canada,49.195,-123.182,752.6,Banyan Tree  - vancouver,2.0,1.0,2023-06-08T17:53:40.515Z,2023-06-11T11:00:00.000Z,116.0
510618-0923ebd2f54b4b46bb850674967f8c97,510618,510618-96a47791033247749ec0db1c61e88e19,2023-05-23T19:10:00.000Z,2023-05-23T19:11:52.000Z,15,true,0.1,false,null,false,true,false,1977-09-23T00:00:00.000Z,F,true,true,usa,san diego,SAN,32.733,-117.189,2023-01-04T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Fairmont - seattle,5.0,1.0,2023-06-10T11:00:00.000Z,2023-06-15T11:00:00.000Z,113.0
523690-88616b5e9a244838b3d54ee48bd8e80a,523690,523690-0bd3dd0b60914eb2aa08f41499b6623e,2023-05-29T18:37:00.000Z,2023-05-29T18:38:06.000Z,9,true,0.1,false,null,false,true,false,1981-02-23T00:00:00.000Z,M,false,false,usa,lincoln,LNK,40.851,-96.759,2023-01-11T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Hyatt - new york,5.0,1.0,2023-06-12T11:00:00.000Z,2023-06-17T11:00:00.000Z,139.0
593719-e78bfffe67cc4d02afbe72f033a975ab,593719,593719-5af3c801ce7542018798550c65637e6b,2023-05-31T13:58:00.000Z,2023-05-31T14:00:28.000Z,20,false,null,false,null,true,true,false,1986-10-26T00:00:00.000Z,M,false,true,usa,houston,HOU,29.645,-95.279,2023-02-14T00:00:00.000Z,HOU,calgary,YYC,1.0,true,2023-06-10T13:00:00.000Z,2023-06-18T13:00:00.000Z,1.0,Air Canada,51.114,-114.02,505.27,Conrad  - calgary,6.0,1.0,2023-06-10T18:33:39.240Z,2023-06-17T11:00:00.000Z,55.0
510815-15d9c48f49974a78ae311f1d4444fbab,510815,510815-f69e8cc97ae34760b3cb08013958ffc5,2023-04-25T21:28:00.000Z,2023-04-25T21:32:47.000Z,39,false,null,false,null,true,true,false,1968-05-23T00:00:00.000Z,F,true,true,usa,san antonio,SKF,29.384,-98.581,2023-01-05T00:00:00.000Z,SKF,new york,JFK,1.0,true,2023-05-01T16:00:00.000Z,2023-05-10T16:00:00.000Z,0.0,Delta Air Lines,40.64,-73.779,459.62,Hyatt - new york,7.0,1.0,2023-05-01T21:12:41.895Z,2023-05-09T11:00:00.000Z,274.0
535441-1a6a997c7e4048c1930e2e86dbf5f38a,535441,535441-2f48a6db49484242b7cf3722bbea5490,2023-05-12T15:35:00.000Z,2023-05-12T15:39:12.000Z,34,false,null,false,null,true,true,false,1977-07-19T00:00:00.000Z,M,true,true,canada,calgary,YYC,51.114,-114.02,2023-01-17T00:00:00.000Z,YYC,chicago,UGN,1.0,true,2023-05-22T07:00:00.000Z,2023-05-26T07:00:00.000Z,1.0,Delta Air Lines,41.786,-87.752,376.2,Conrad  - chicago,2.0,1.0,2023-05-22T11:48:32.130Z,2023-05-24T11:00:00.000Z,206.0
489953-48f75e4bed594c9885d3676c595b6f38,489953,489953-d280effb4b8c4ecca1f72d6b6dfdce34,2023-04-22T19:56:00.000Z,2023-04-22T19:58:26.000Z,20,false,null,false,null,true,true,false,1984-04-06T00:00:00.000Z,F,false,true,usa,san antonio,SKF,29.384,-98.581,2022-12-25T00:00:00.000Z,SKF,ottawa,YOW,1.0,true,2023-05-01T10:00:00.000Z,2023-05-04T10:00:00.000Z,1.0,United Airlines,45.323,-75.669,517.99,Extended Stay  - ottawa,2.0,1.0,2023-05-01T15:20:32.055Z,2023-05-04T11:00:00.000Z,98.0
512329-28006dd1020c4650821795a875e7b667,512329,512329-8ffa28bcc63f42f186276f3d146f0d12,2023-05-14T15:41:00.000Z,2023-05-14T15:43:11.000Z,18,false,null,true,0.1,true,true,false,1987-09-12T00:00:00.000Z,F,true,false,canada,hamilton,YHM,43.173,-79.935,2023-01-05T00:00:00.000Z,YHM,new york,JFK,1.0,true,2023-05-23T07:00:00.000Z,2023-05-27T07:00:00.000Z,0.0,Delta Air Lines,40.64,-73.779,111.77,Crowne Plaza - new york,3.0,1.0,2023-05-23T09:43:38.550Z,2023-05-26T11:00:00.000Z,106.0
541112-19eb86beb1a44d3a973dc6dbe6639533,541112,541112-3fa6476334d44bcc95f83fce2bc3b88f,2023-05-21T18:00:00.000Z,2023-05-21T18:02:48.000Z,23,false,null,false,null,true,true,false,1979-12-01T00:00:00.000Z,F,false,false,usa,detroit,DTW,42.212,-83.353,2023-01-19T00:00:00.000Z,DTW,boston,BOS,2.0,true,2023-05-28T14:00:00.000Z,2023-06-02T14:00:00.000Z,4.0,JetBlue Airways,42.364,-71.005,365.64,Crowne Plaza - boston,3.0,2.0,2023-05-28T17:16:07.410Z,2023-06-01T11:00:00.000Z,130.0
538112-3c40aa14b358437b9f2af4d2c9a9eeff,538112,538112-b2876f3ba15f47349a2c5316a17ac46e,2023-05-30T12:55:00.000Z,2023-05-30T12:58:59.000Z,32,true,0.1,false,null,true,true,false,1972-10-26T00:00:00.000Z,F,true,false,usa,new york,LGA,40.777,-73.872,2023-01-18T00:00:00.000Z,LGA,indianapolis,IND,1.0,true,2023-06-11T07:00:00.000Z,2023-06-17T07:00:00.000Z,0.0,Allegiant Air,39.717,-86.294,183.64,Accor - indianapolis,5.0,1.0,2023-06-11T10:19:29.685Z,2023-06-16T11:00:00.000Z,158.0
522364-eabf93ca02f34cdeaad187c1f1bc715b,522364,522364-0eb835309d8c45be916aafb5ef03aa9a,2023-05-08T08:10:00.000Z,2023-05-08T08:12:28.000Z,20,false,null,false,null,true,true,false,1990-07-27T00:00:00.000Z,F,false,false,usa,memphis,MEM,35.042,-89.977,2023-01-10T00:00:00.000Z,MEM,houston,HOU,1.0,true,2023-05-19T10:00:00.000Z,2023-05-23T10:00:00.000Z,0.0,Southwest Airlines,29.607,-95.159,130.58,Extended Stay  - houston,3.0,1.0,2023-05-19T12:58:11.145Z,2023-05-23T11:00:00.000Z,98.0
576169-cb4978e2876d4da583bafae4b3099abe,576169,576169-c4d80b8526ee41c8a093f62f17cb60df,2023-04-30T20:18:00.000Z,2023-04-30T20:22:04.000Z,33,false,null,false,null,true,true,false,1985-03-19T00:00:00.000Z,F,false,false,usa,dallas,DAL,32.847,-96.852,2023-02-06T00:00:00.000Z,DAL,montreal,YHU,1.0,true,2023-05-06T08:00:00.000Z,2023-05-08T08:00:00.000Z,1.0,Delta Air Lines,45.517,-73.417,448.99,Choice Hotels - montreal,0.0,1.0,2023-05-06T13:03:35.415Z,2023-05-07T11:00:00.000Z,170.0
561864-b41e2dd3001b40ea8dee8347cc04ccf2,561864,561864-0af53dd75d83420088a2a10520228c6d,2023-05-07T20:51:00.000Z,2023-05-07T20:52:25.000Z,11,false,null,false,null,false,true,false,1984-10-08T00:00:00.000Z,F,false,false,usa,long beach,LGB,33.818,-118.151,2023-01-30T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Hyatt - new york,8.0,1.0,2023-05-12T11:00:00.000Z,2023-05-20T11:00:00.000Z,214.0
665505-f7cd3706a5c04e3e98bcd153aabf0dd9,665505,665505-2a029ac2fe69431ea76d41778f0f4aed,2023-05-08T08:09:00.000Z,2023-05-08T08:13:14.000Z,33,false,null,false,null,false,true,false,1986-12-14T00:00:00.000Z,F,false,false,canada,ottawa,YOW,45.323,-75.669,2023-03-15T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Banyan Tree  - quebec,7.0,2.0,2023-05-09T11:00:00.000Z,2023-05-16T11:00:00.000Z,136.0
543728-a3ea610532db401490507009e7655fb9,543728,543728-f1771535141a4db69617c27548fa8264,2023-05-12T20:54:00.000Z,2023-05-12T20:57:36.000Z,29,true,0.05,false,null,true,true,false,1981-07-27T00:00:00.000Z,F,false,false,usa,seattle,SEA,47.449,-122.309,2023-01-21T00:00:00.000Z,SEA,philadelphia,PNE,1.0,true,2023-05-19T07:00:00.000Z,2023-05-21T07:00:00.000Z,0.0,United Airlines,39.872,-75.241,695.31,Crowne Plaza - philadelphia,1.0,1.0,2023-05-19T13:46:19.470Z,2023-05-21T11:00:00.000Z,65.0
662010-8593f83eafb84deb820fd2760a79d26d,662010,662010-b7291c15def84fa4bbfae60c6ed06492,2023-05-18T16:07:00.000Z,2023-05-18T16:09:25.000Z,20,false,null,false,null,true,true,false,1981-10-20T00:00:00.000Z,F,true,false,usa,denver,DEN,39.858,-104.667,2023-03-14T00:00:00.000Z,DEN,chicago,ORD,2.0,true,2023-05-23T07:00:00.000Z,2023-05-25T07:00:00.000Z,0.0,United Airlines,41.786,-87.752,546.43,Banyan Tree  - chicago,1.0,2.0,2023-05-23T10:47:46.410Z,2023-05-24T11:00:00.000Z,467.0
527984-c679e0dbcaf548ad94ff0b2f4edbe67f,527984,527984-ec2ebfde8a994c7d811f6150b829f3fd,2023-05-27T21:25:00.000Z,2023-05-27T21:27:33.000Z,20,false,null,false,null,true,true,false,1973-11-05T00:00:00.000Z,F,false,true,usa,winston-salem,INT,36.134,-80.222,2023-01-13T00:00:00.000Z,INT,fort worth,FTW,1.0,true,2023-06-07T12:00:00.000Z,2023-06-12T12:00:00.000Z,1.0,United Airlines,32.82,-97.362,276.72,Marriott  - fort worth,3.0,1.0,2023-06-07T16:00:51.300Z,2023-06-11T11:00:00.000Z,140.0
643645-23f5f467cab945f6a730deffc94120f4,643645,643645-fbe5c754d99b421886129398bf48c553,2023-05-31T20:53:00.000Z,2023-05-31T20:55:01.000Z,16,true,0.05,false,null,false,true,false,1977-06-16T00:00:00.000Z,F,true,true,usa,new york,JFK,40.64,-73.779,2023-03-07T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Banyan Tree  - houston,3.0,1.0,2023-06-17T11:00:00.000Z,2023-06-20T11:00:00.000Z,278.0
638162-21b158931a1a495ba6a79ad4e1bebee0,638162,638162-ef6f25df1c6b4a50a557b0406f8960e0,2023-04-30T08:24:00.000Z,2023-04-30T08:26:19.000Z,19,false,null,false,null,false,true,false,1991-03-28T00:00:00.000Z,F,false,false,usa,chicago,ORD,41.979,-87.904,2023-03-05T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Aman Resorts - oklahoma city,9.0,1.0,2023-05-14T11:00:00.000Z,2023-05-23T11:00:00.000Z,102.0
714166-2efaffe15ac1421cb5a0a69149bea699,714166,714166-fed641ca588346e88d051501c9095ea9,2023-05-07T09:28:00.000Z,2023-05-07T09:30:42.000Z,22,false,null,false,null,true,true,false,1984-09-14T00:00:00.000Z,F,true,false,usa,norfolk,NGU,36.938,-76.289,2023-04-02T00:00:00.000Z,NGU,montreal,YUL,1.0,true,2023-05-11T10:00:00.000Z,2023-05-16T10:00:00.000Z,0.0,Air Canada,45.517,-73.417,173.54,NH Hotel  - montreal,4.0,1.0,2023-05-11T13:13:45.885Z,2023-05-16T11:00:00.000Z,148.0
538681-f5093760c098472a963d028457f24ddd,538681,538681-c96d3925292b42cbb0ec928956f2a3e7,2023-04-26T20:05:00.000Z,2023-04-26T20:09:34.000Z,37,false,null,false,null,true,true,false,2006-01-04T00:00:00.000Z,F,false,false,usa,new york,LGA,40.777,-73.872,2023-01-18T00:00:00.000Z,LGA,washington,DCA,4.0,true,2023-05-08T09:00:00.000Z,2023-05-09T09:00:00.000Z,2.0,American Airlines,38.852,-77.037,251.45,Four Seasons - washington,0.0,4.0,2023-05-08T11:25:51.465Z,2023-05-08T11:00:00.000Z,152.0
571553-1896bbd479944b998052ec866af7c223,571553,571553-5314c2115702402f9851910639531f11,2023-05-20T07:57:00.000Z,2023-05-20T07:59:23.000Z,19,false,null,false,null,true,true,false,1974-04-11T00:00:00.000Z,M,true,true,usa,tucson,TUS,32.116,-110.941,2023-02-04T00:00:00.000Z,TUS,nashville,BNA,1.0,true,2023-05-23T10:00:00.000Z,2023-06-01T10:00:00.000Z,0.0,American Airlines,36.124,-86.678,389.83,Aman Resorts - nashville,8.0,1.0,2023-05-23T14:50:20.715Z,2023-06-01T11:00:00.000Z,231.0
516269-beb949f87b99417392198ead5cda5e84,516269,516269-4261337592f14d3dbe4af818324972bf,2023-04-22T17:39:00.000Z,2023-04-22T17:41:38.000Z,21,false,null,false,null,true,true,false,1986-09-07T00:00:00.000Z,F,false,false,usa,stockton,SCK,37.894,-121.239,2023-01-07T00:00:00.000Z,SCK,quebec,YQB,1.0,true,2023-05-01T16:00:00.000Z,2023-05-04T16:00:00.000Z,0.0,United Airlines,46.788,-71.398,748.78,Accor - quebec,1.0,1.0,2023-05-01T23:10:33.870Z,2023-05-03T11:00:00.000Z,151.0
532519-1ba37749273b42f3a12b1eba791d071c,532519,532519-7af34077a8c141338daa95b80b3ee060,2023-05-03T14:08:00.000Z,2023-05-03T14:10:28.000Z,20,false,null,false,null,true,true,false,1974-10-13T00:00:00.000Z,F,true,false,usa,tulsa,TUL,36.198,-95.888,2023-01-15T00:00:00.000Z,TUL,houston,HOU,2.0,true,2023-05-11T08:00:00.000Z,2023-05-14T08:00:00.000Z,2.0,Southwest Airlines,29.607,-95.159,254.5,Conrad  - houston,2.0,2.0,2023-05-11T10:55:12.135Z,2023-05-13T11:00:00.000Z,177.0
445351-29db4488bcad403ea5ca326a69b557cb,445351,445351-fe7e325381d2464e96c46de7ec7088df,2023-05-05T17:15:00.000Z,2023-05-05T17:18:09.000Z,25,false,null,false,null,true,true,false,1970-11-14T00:00:00.000Z,F,true,true,usa,des moines,DSM,41.534,-93.663,2022-12-02T00:00:00.000Z,DSM,los angeles,LSQ,1.0,true,2023-05-15T14:00:00.000Z,2023-05-22T14:00:00.000Z,0.0,United Airlines,33.942,-118.408,421.83,Rosewood - los angeles,5.0,1.0,2023-05-15T18:54:17.235Z,2023-05-21T11:00:00.000Z,90.0
583023-455bcc1438fb45788d5726279aeb1621,583023,583023-7cdf3cf161164d7e8cc984c20f723a19,2023-05-30T21:09:00.000Z,2023-05-30T21:11:36.000Z,21,false,null,false,null,true,true,false,1970-09-21T00:00:00.000Z,F,true,false,usa,cleveland,CLE,41.412,-81.85,2023-02-09T00:00:00.000Z,CLE,chicago,MDW,1.0,true,2023-06-04T07:00:00.000Z,2023-06-07T07:00:00.000Z,0.0,KLM Royal Dutch Airlines,41.786,-87.752,88.09,Aman Resorts - chicago,2.0,1.0,2023-06-04T09:36:55.935Z,2023-06-06T11:00:00.000Z,365.0
521720-22e568a76ccf482d8e6c94799ebc105f,521720,521720-fa6f6f5adc564588be17e38afbb953f4,2023-05-08T05:48:00.000Z,2023-05-08T05:51:21.000Z,27,false,null,false,null,true,true,false,1979-08-11T00:00:00.000Z,M,false,false,usa,indianapolis,IND,39.717,-86.294,2023-01-10T00:00:00.000Z,IND,montreal,YHU,1.0,true,2023-05-14T07:00:00.000Z,2023-05-20T07:00:00.000Z,0.0,Delta Air Lines,45.517,-73.417,237.93,NH Hotel  - montreal,5.0,1.0,2023-05-14T10:32:29.265Z,2023-05-19T11:00:00.000Z,105.0
531016-91e6255168a24b3c9bfdaaf91d0f36f3,531016,531016-2573578228834c68ad6f397abf5f6062,2023-05-24T19:43:00.000Z,2023-05-24T19:45:14.000Z,18,false,null,false,null,false,true,false,1984-02-01T00:00:00.000Z,M,false,false,usa,new york,JFK,40.64,-73.779,2023-01-14T00:00:00.000Z,null,null,null,null,null,null,null,null,null,null,null,null,Hyatt - phoenix,10.0,2.0,2023-06-01T11:00:00.000Z,2023-06-11T11:00:00.000Z,141.0
593632-e9a0efa5aee645739ae5a1615f5876b3,593632,593632-5a92a25416fd4015a9e8e2d6d484499b,2023-06-07T07:53:00.000Z,2023-06-07T07:55:21.000Z,19,false,null,false,null,true,true,false,1968-11-07T00:00:00.000Z,F,true,true,usa,dallas,DAL,32.847,-96.852,2023-02-14T00:00:00.000Z,DAL,new york,LGA,1.0,true,2023-06-12T07:00:00.000Z,2023-06-17T07:00:00.000Z,1.0,Delta Air Lines,40.64,-73.779,429.48,Hilton - new york,4.0,1.0,2023-06-12T11:46:41.160Z,2023-06-16T11:00:00.000Z,183.0
491124-e7864ec2cb7a444b8332e3c184e196d9,491124,491124-95b343108def4689ac052c3b7b285b7e,2023-04-22T20:28:00.000Z,2023-04-22T20:31:03.000Z,25,false,null,false,null,true,true,false,1969-07-20T00:00:00.000Z,M,false,false,usa,colorado springs,COS,38.806,-104.7,2022-12-25T00:00:00.000Z,COS,chicago,ORD,1.0,true,2023-05-05T12:00:00.000Z,2023-05-07T12:00:00.000Z,0.0,JetBlue Airways,41.786,-87.752,294.5,Starwood  - chicago,1.0,1.0,2023-05-05T15:50:25.845Z,2023-05-07T11:00:00.000Z,69.0
